nb;Param;Instance;solution;time
30;1;1;61;2e-06
30;1;2;50;0
30;1;3;51;0
30;1;4;74;1e-06
30;1;5;41;0
30;1;6;49;1e-06
30;1;7;64;1e-06
30;1;8;58;1e-06
30;1;9;51;1e-06
30;1;10;53;1e-06
30;2;1;39;0
30;2;2;51;0
30;2;3;48;1e-06
30;2;4;45;1e-06
30;2;5;51;0
30;2;6;48;1e-06
30;2;7;48;0
30;2;8;55;0
30;2;9;59;1e-06
30;2;10;51;0
30;3;1;73;0
30;3;2;40;0
30;3;3;57;0
30;3;4;103;0
30;3;5;54;0
30;3;6;54;1e-06
30;3;7;48;0
30;3;8;54;0
30;3;9;65;1e-06
30;3;10;60;0
30;4;1;49;1e-06
30;4;2;60;0
30;4;3;47;0
30;4;4;57;0
30;4;5;59;0
30;4;6;45;0
30;4;7;56;1e-06
30;4;8;55;1e-06
30;4;9;38;0
30;4;10;48;0
30;5;1;58;0
30;5;2;83;0
30;5;3;90;0
30;5;4;69;1e-06
30;5;5;87;0
30;5;6;73;0
30;5;7;88;0
30;5;8;75;0
30;5;9;53;1e-06
30;5;10;73;0
30;6;1;67;1e-06
30;6;2;65;0
30;6;3;52;1e-06
30;6;4;46;1e-06
30;6;5;71;1e-06
30;6;6;43;0
30;6;7;53;1e-06
30;6;8;42;0
30;6;9;53;0
30;6;10;65;0
30;7;1;55;1e-06
30;7;2;46;0
30;7;3;49;1e-06
30;7;4;49;1e-06
30;7;5;45;1e-06
30;7;6;36;0
30;7;7;53;0
30;7;8;44;0
30;7;9;60;0
30;7;10;50;0
30;8;1;44;1e-06
30;8;2;51;0
30;8;3;53;0
30;8;4;48;0
30;8;5;58;1e-06
30;8;6;47;1e-06
30;8;7;41;0
30;8;8;51;1e-06
30;8;9;39;0
30;8;10;67;1e-06
30;9;1;95;0
30;9;2;98;1e-06
30;9;3;85;0
30;9;4;82;1e-06
30;9;5;82;0
30;9;6;69;1e-06
30;9;7;77;0
30;9;8;101;0
30;9;9;77;0
30;9;10;100;0
30;10;1;46;1e-06
30;10;2;61;0
30;10;3;75;1e-06
30;10;4;74;1e-06
30;10;5;49;0
30;10;6;54;0
30;10;7;52;0
30;10;8;56;1e-06
30;10;9;49;0
30;10;10;45;1e-06
30;11;1;57;1e-06
30;11;2;58;0
30;11;3;83;0
30;11;4;66;1e-06
30;11;5;57;1e-06
30;11;6;47;1e-06
30;11;7;41;1e-06
30;11;8;63;1e-06
30;11;9;71;1e-06
30;11;10;40;1e-06
30;12;1;47;0
30;12;2;46;0
30;12;3;37;1e-06
30;12;4;63;0
30;12;5;47;1e-06
30;12;6;53;0
30;12;7;55;1e-06
30;12;8;35;1e-06
30;12;9;52;0
